var,y,dim,val_district_ann_agg,val_district_foreign_total,share_district_foreign,k_growth_coef,k_growth_coef_pct
Počet návštevníkov spolu,2019,Singapore,2,34457,0.01,0.0102564102564103,-98.97
Počet návštevníkov spolu,2019,Other African States,48,34457,0.14,24,2300.00
Počet návštevníkov spolu,2019,Tunisia,1,34457,0,0.0208333333333333,-97.92
Počet návštevníkov spolu,2019,Slovenia,114,34457,0.33,114,11300.00
Počet návštevníkov spolu,2019,Albania,36,34457,0.1,0.315789473684211,-68.42
Počet návštevníkov spolu,2019,Dominican Republic,8,34457,0.02,0.222222222222222,-77.78
Počet návštevníkov spolu,2019,United States,201,34457,0.58,25.125,2412.50
Počet návštevníkov spolu,2019,Norway,45,34457,0.13,0.223880597014925,-77.61
Počet návštevníkov spolu,2019,Egypt,2,34457,0.01,0.0444444444444444,-95.56
Počet návštevníkov spolu,2020,Norway,2,14302,0.01,1,0.00
Počet návštevníkov spolu,2020,Austria,267,14302,1.87,133.5,13250.00
Počet návštevníkov spolu,2020,Belarus,3,14302,0.02,0.0112359550561798,-98.88
Počet návštevníkov spolu,2020,Belgium,75,14302,0.52,25,2400.00
Počet návštevníkov spolu,2020,Brazil,80,14302,0.56,1.06666666666667,6.67
Počet návštevníkov spolu,2020,Bulgaria,29,14302,0.2,0.3625,-63.75
Počet návštevníkov spolu,2020,Canada,7,14302,0.05,0.241379310344828,-75.86
Počet návštevníkov spolu,2020,China,2,14302,0.01,0.285714285714286,-71.43
Počet návštevníkov spolu,2020,Croatia,11,14302,0.08,5.5,450.00
Počet návštevníkov spolu,2020,Czechia,5808,14302,40.61,528,52700.00
Počet návštevníkov spolu,2020,Denmark,31,14302,0.22,0.00533746556473829,-99.47
Počet návštevníkov spolu,2020,Estonia,44,14302,0.31,1.41935483870968,41.94
Počet návštevníkov spolu,2020,Finland,9,14302,0.06,0.204545454545455,-79.55
Počet návštevníkov spolu,2020,France,80,14302,0.56,8.88888888888889,788.89
Počet návštevníkov spolu,2020,Germany,1729,14302,12.09,21.6125,2061.25
Počet návštevníkov spolu,2020,Greece,3,14302,0.02,0.00173510699826489,-99.83
Počet návštevníkov spolu,2020,Hungary,1428,14302,9.98,476,47500.00
Počet návštevníkov spolu,2020,India,6,14302,0.04,0.00420168067226891,-99.58
Počet návštevníkov spolu,2020,Indonesia,15,14302,0.1,2.5,150.00
Počet návštevníkov spolu,2020,Ireland,11,14302,0.08,0.733333333333333,-26.67
Počet návštevníkov spolu,2020,Israel,32,14302,0.22,2.90909090909091,190.91
Počet návštevníkov spolu,2020,Italy,161,14302,1.13,5.03125,403.13
Počet návštevníkov spolu,2020,Japan,1,14302,0.01,0.0062111801242236,-99.38
Počet návštevníkov spolu,2020,Latvia,42,14302,0.29,42,4100.00
Počet návštevníkov spolu,2020,Lithuania,85,14302,0.59,2.02380952380952,102.38
Počet návštevníkov spolu,2020,Malta,5,14302,0.03,0.0588235294117647,-94.12
Počet návštevníkov spolu,2020,Mexico,6,14302,0.04,1.2,20.00
