country,y,val_district_ann_agg,k_growth_coef,k_growth_coef_pct,index,users,new_users,sessions,bounce_rate,page_session,avg_session_dur,users_visitors_ratio
Turkey,2020,6,0.070588235,-92.94,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Turkey,2021,2,0.333333333,-66.67,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ukraine,2017,377,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ukraine,2018,502,1.331564987,33.16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ukraine,2019,505,1.005976096,0.6,43,40,39,47,0.723404255,1.808510638,112.2340426,13
Ukraine,2020,169,0.334653465,-66.53,46,34,34,45,0.711111111,1.755555556,58.22222222,5
Ukraine,2021,57,0.337278107,-66.27,66,21,20,29,0.75862069,3.103448276,209.6206897,3
United Arab Emirates,2017,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
United Arab Emirates,2018,11,11,1000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
United Kingdom,2017,281,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
United Kingdom,2018,329,1.170818505,17.08,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
United Kingdom,2019,438,1.331306991,33.13,18,168,164,214,0.724299065,1.780373832,104.6214953,3
United Kingdom,2020,73,0.166666667,-83.33,16,212,206,269,0.832713755,1.494423792,64.67286245,0
United Kingdom,2021,20,0.273972603,-72.6,21,125,124,147,0.836734694,1.285714286,30.14965986,0
United States,2017,196,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
United States,2018,244,1.244897959,24.49,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
United States,2019,201,0.823770492,-17.62,5,959,958,972,0.972222222,1.060699588,4.037037037,0
United States,2020,17,0.084577114,-91.54,3,1188,1184,1191,0.986565911,1.031066331,3.471032746,0
United States,2021,15,0.882352941,-11.76,7,761,761,765,0.951633987,1.065359477,5.645751634,0
Vietnam,2017,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Vietnam,2019,1,0.5,-50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
