cat,dd,val_districts_country,k_growth_coef,k_growth_coef_pct
Australia (Prenocovania),20210101,,,
Australia (Prenocovania),20210201,,,
Australia (Prenocovania),20210301,,,
Australia (Prenocovania),20210401,,,
Australia (Prenocovania),20210501,,,
Australia (Prenocovania),20210601,,,
Australia (Prenocovania),20210701,,,
Australia (Prenocovania),20210801,,,
Australia (Prenocovania),20210901,,,
Australia (Prenocovania),20211001,,,
Australia (Prenocovania),20211101,,,
Australia (Prenocovania),20211201,,,
Austria (Počet),20170101,34,,
Austria (Počet),20170201,33,0.970588235,-2.94
Austria (Počet),20170301,58,1.757575758,75.76
Austria (Počet),20170401,33,0.568965517,-43.1
Austria (Počet),20170501,116,3.515151515,251.52
Austria (Počet),20170601,144,1.24137931,24.14
Austria (Počet),20170701,90,0.625,-37.5
Austria (Počet),20170801,103,1.144444444,14.44
Austria (Počet),20170901,85,0.825242718,-17.48
Austria (Počet),20171001,37,0.435294118,-56.47
Austria (Počet),20171101,42,1.135135135,13.51
Austria (Počet),20171201,35,0.833333333,-16.67
Austria (Počet),20180101,28,0.8,-20
Austria (Počet),20180201,24,0.857142857,-14.29
Austria (Počet),20180301,35,1.458333333,45.83
Austria (Počet),20180401,21,0.6,-40
Austria (Počet),20180501,48,2.285714286,128.57
Austria (Počet),20180601,61,1.270833333,27.08
Austria (Počet),20180701,66,1.081967213,8.2
Austria (Počet),20180801,138,2.090909091,109.09
Austria (Počet),20180901,163,1.18115942,18.12
Austria (Počet),20181001,39,0.239263804,-76.07
Austria (Počet),20181101,34,0.871794872,-12.82
Austria (Počet),20181201,48,1.411764706,41.18
Austria (Počet),20190101,33,0.6875,-31.25
Austria (Počet),20190201,18,0.545454545,-45.45
Austria (Počet),20190301,21,1.166666667,16.67
Austria (Počet),20190401,36,1.714285714,71.43
Austria (Počet),20190501,27,0.75,-25
Austria (Počet),20190601,89,3.296296296,229.63
Austria (Počet),20190701,94,1.056179775,5.62
Austria (Počet),20190801,155,1.64893617,64.89
Austria (Počet),20190901,108,0.696774194,-30.32
Austria (Počet),20191001,53,0.490740741,-50.93
Austria (Počet),20191101,22,0.41509434,-58.49
Austria (Počet),20191201,52,2.363636364,136.36
Austria (Počet),20200101,43,0.826923077,-17.31
Austria (Počet),20200201,21,0.488372093,-51.16
Austria (Počet),20200301,6,0.285714286,-71.43
Austria (Počet),20200401,,,
Austria (Počet),20200501,,,
Austria (Počet),20200601,9,,
Austria (Počet),20200701,70,7.777777778,677.78
Austria (Počet),20200801,44,0.628571429,-37.14
Austria (Počet),20200901,39,0.886363636,-11.36
Austria (Počet),20201001,22,0.564102564,-43.59
Austria (Počet),20201101,7,0.318181818,-68.18
Austria (Počet),20201201,6,0.857142857,-14.29
Austria (Počet),20210101,9,1.5,50
Austria (Počet),20210201,14,1.555555556,55.56
Austria (Počet),20210301,,,
Austria (Počet),20210401,10,,
Austria (Počet),20210501,3,0.3,-70
Austria (Počet),20210601,6,2,100
Austria (Počet),20210701,12,2,100
Austria (Počet),20210801,4,0.333333333,-66.67
Austria (Počet),20210901,42,10.5,950
Austria (Počet),20211001,13,0.30952381,-69.05
Austria (Počet),20211101,,,
Austria (Počet),20211201,3,,
Austria (Prenocovania),20170101,104,,
Austria (Prenocovania),20170201,76,0.730769231,-26.92
Austria (Prenocovania),20170301,179,2.355263158,135.53
Austria (Prenocovania),20170401,101,0.56424581,-43.58
Austria (Prenocovania),20170501,215,2.128712871,112.87
